# ----------------------------------------
# Report CSV Export
# Account: Tandamos
# Property: Tandamos Android
# ----------------------------------------
# 
# All Users
# Start date: 20210901
# End date: 20220418

First user default channel grouping,New users
Direct,17011
Unassigned,7474
Organic Search,4970
Email,395
Organic Social,94
Mobile Push Notifications,1

# Start date: 20210901
# End date: 20220418
Day,Direct,Unassigned,Organic Search,Email,Organic Social
0000,0,0,0,0,0
0001,0,0,0,0,0
0002,0,0,0,0,0
0003,0,0,0,0,0
0004,0,0,0,0,0
0005,0,0,0,0,0
0006,0,0,0,0,0
0007,0,0,0,0,0
0008,0,0,0,0,0
0009,0,0,0,0,0
0010,0,0,0,0,0
0011,0,0,0,0,0
0012,0,0,0,0,0
0013,0,0,0,0,0
0014,0,0,0,0,0
0015,0,0,0,0,0
0016,0,0,0,0,0
0017,0,0,0,0,0
0018,0,0,0,0,0
0019,0,0,0,0,0
0020,0,0,0,0,0
0021,0,0,0,0,0
0022,0,0,0,0,0
0023,0,0,0,0,0
0024,0,0,0,0,0
0025,0,0,0,0,0
0026,0,0,0,0,0
0027,0,0,0,0,0
0028,2,0,0,0,0
0029,1,0,1,0,0
0030,10,3,21,2,1
0031,4,0,7,0,0
0032,0,3,12,0,0
0033,13,3,10,1,0
0034,4,1,10,0,0
0035,6,17,8,0,0
0036,9,7,10,0,0
0037,0,1,4,0,0
0038,0,3,1,0,0
0039,0,11,9,0,0
0040,0,3,6,0,0
0041,6,4,3,0,0
0042,2,4,12,0,0
0043,2,8,12,0,0
0044,2,1,6,0,0
0045,0,1,2,0,1
0046,0,0,9,0,3
0047,2,0,4,0,0
0048,7,1,6,0,0
0049,9,0,8,0,0
0050,2,0,6,0,1
0051,1,0,5,0,0
0052,0,0,5,0,0
0053,0,0,3,0,0
0054,0,0,15,0,1
0055,1,1,3,0,0
0056,18,5,28,98,0
0057,8,4,20,60,0
0058,13,5,14,53,0
0059,3,0,7,68,0
0060,0,1,8,30,0
0061,46,14,3,11,0
0062,200,59,16,12,0
0063,181,59,21,9,0
0064,144,41,28,9,1
0065,130,39,43,7,1
0066,107,35,20,1,0
0067,121,37,6,1,1
0068,33,6,23,0,0
0069,99,39,22,1,0
0070,95,46,47,2,0
0071,85,26,15,0,0
0072,74,31,18,3,0
0073,55,32,4,3,0
0074,67,35,13,0,0
0075,72,33,14,3,0
0076,9,3,2,1,0
0077,10,2,2,1,0
0078,5,0,0,0,0
0079,11,0,3,0,0
0080,2,1,1,0,0
0081,3,0,1,0,0
0082,7,0,0,0,0
0083,2,1,3,0,0
0084,1,0,0,0,0
0085,1,0,0,0,0
0086,1,0,1,0,0
0087,2,0,0,0,0
0088,0,1,0,0,0
0089,0,0,0,0,0
0090,13,0,0,0,0
0091,6,0,2,0,0
0092,5,0,3,0,0
0093,4,0,4,0,0
0094,0,0,0,0,0
0095,1,0,0,0,0
0096,4,0,0,0,0
0097,13,0,0,0,0
0098,49,14,17,0,1
0099,139,28,14,0,0
0100,122,28,24,0,0
0101,115,24,15,1,1
0102,116,24,6,0,1
0103,95,15,21,0,0
0104,85,10,6,0,0
0105,94,16,13,0,0
0106,80,20,20,0,0
0107,117,29,37,1,2
0108,91,23,21,1,0
0109,84,21,11,0,1
0110,127,24,22,0,0
0111,136,19,15,0,0
0112,107,19,15,1,1
0113,115,13,16,0,0
0114,130,17,21,0,0
