# ----------------------------------------
# Report CSV Export
# Account: Tandamos
# Property: Tandamos Android
# ----------------------------------------
# 
# All Users
# Start date: 20211026
# End date: 20220418

First user default channel grouping,New users
Direct,16913
Unassigned,7374
Organic Search,4737
Email,392
Organic Social,87
Mobile Push Notifications,1

# Start date: 20211026
# End date: 20220418
Day,Direct,Unassigned,Organic Search,Email,Organic Social
0000,1,1,3,0,0
0001,18,5,28,98,0
0002,8,4,20,60,0
0003,13,5,14,53,0
0004,3,0,7,68,0
0005,0,1,8,30,0
0006,46,14,3,11,0
0007,200,59,16,12,0
0008,181,59,21,9,0
0009,144,41,28,9,1
0010,130,39,43,7,1
0011,107,35,20,1,0
0012,121,37,6,1,1
0013,33,6,23,0,0
0014,99,39,22,1,0
0015,95,46,47,2,0
0016,85,26,15,0,0
0017,74,31,18,3,0
0018,55,32,4,3,0
0019,67,35,13,0,0
0020,72,33,14,3,0
0021,9,3,2,1,0
0022,10,2,2,1,0
0023,5,0,0,0,0
0024,11,0,3,0,0
0025,2,1,1,0,0
0026,3,0,1,0,0
0027,7,0,0,0,0
0028,2,1,3,0,0
0029,1,0,0,0,0
0030,1,0,0,0,0
0031,1,0,1,0,0
0032,2,0,0,0,0
0033,0,1,0,0,0
0034,0,0,0,0,0
0035,13,0,0,0,0
0036,6,0,2,0,0
0037,5,0,3,0,0
0038,4,0,4,0,0
0039,0,0,0,0,0
0040,1,0,0,0,0
0041,4,0,0,0,0
0042,13,0,0,0,0
0043,49,14,17,0,1
0044,139,28,14,0,0
0045,122,28,24,0,0
0046,115,24,15,1,1
0047,116,24,6,0,1
0048,95,15,21,0,0
0049,85,10,6,0,0
0050,94,16,13,0,0
0051,80,20,20,0,0
0052,117,29,37,1,2
0053,91,23,21,1,0
0054,84,21,11,0,1
0055,127,24,22,0,0
0056,136,19,15,0,0
0057,107,19,15,1,1
0058,115,13,16,0,0
0059,130,17,21,0,0
0060,113,15,21,0,0
0061,208,26,19,0,0
0062,205,28,61,0,1
0063,198,29,35,0,2
0064,157,30,26,0,0
0065,140,22,31,0,2
0066,108,25,20,1,0
0067,85,13,12,1,0
0068,71,16,19,0,1
0069,73,14,39,0,2
0070,184,22,30,0,1
0071,173,35,40,0,0
0072,177,37,25,0,2
0073,196,36,26,0,1
0074,155,30,19,0,0
0075,196,38,33,0,1
0076,163,45,68,0,0
0077,162,31,39,1,0
0078,150,38,71,0,1
0079,204,49,58,0,2
0080,178,33,40,0,0
0081,175,19,31,1,2
0082,183,36,36,0,0
0083,294,44,48,1,1
0084,305,55,53,1,1
0085,253,43,51,1,4
0086,235,29,48,0,1
0087,188,33,44,0,0
0088,210,29,40,0,1
0089,159,36,33,0,3
0090,216,40,44,0,3
0091,334,30,63,1,1
0092,387,42,53,1,0
0093,306,30,52,0,0
0094,295,24,54,1,0
0095,235,27,32,0,1
0096,255,32,56,0,0
0097,301,33,63,0,2
0098,393,40,52,1,2
0099,290,30,40,0,1
0100,271,24,55,0,1
0101,215,31,42,0,1
0102,211,17,22,0,0
0103,235,17,24,0,0
0104,178,4,28,0,0
0105,170,2,70,0,1
0106,131,2,29,0,1
0107,169,2,28,0,0
0108,225,1,38,0,0
0109,238,2,21,0,0
0110,263,2,15,0,1
0111,225,4,47,0,1
0112,147,5,23,0,1
0113,117,3,22,0,1
0114,113,11,33,0,0
0115,103,11,20,0,0
0116,109,13,22,0,0
0117,105,13,20,0,1
0118,148,19,38,0,1
0119,108,6,37,0,4
0120,70,6,15,0,0
0121,59,2,18,0,1
0122,35,54,18,0,0
0123,22,55,15,1,0
0124,21,60,24,0,0
0125,27,69,38,0,4
0126,13,61,28,0,0
0127,25,104,25,0,0
0128,30,105,31,0,0
0129,27,123,49,0,1
0130,18,119,29,0,0
0131,19,104,36,0,0
0132,23,107,32,0,1
0133,26,149,36,0,0
0134,30,94,25,0,0
0135,14,92,20,0,0
0136,24,109,22,0,0
0137,15,83,18,0,0
0138,30,84,30,0,0
0139,28,91,56,0,1
0140,23,85,29,0,1
0141,19,76,42,0,0
0142,16,78,43,0,2
0143,22,73,49,0,1
0144,29,140,33,0,0
0145,11,43,29,0,1
0146,27,48,32,0,0
0147,41,262,64,0,0
0148,42,219,56,0,1
0149,30,160,189,0,0
0150,12,61,47,0,0
0151,35,71,27,0,1
0152,15,86,30,0,0
0153,32,110,32,0,1
0154,29,119,38,0,0
0155,24,105,37,0,0
0156,19,76,22,0,1
0157,7,23,16,1,0
0158,7,21,13,0,0
0159,9,21,17,0,0
0160,21,94,21,0,1
0161,26,101,40,0,0
0162,36,161,30,0,0
0163,31,155,35,0,1
0164,14,40,35,0,0
0165,13,27,19,0,0
0166,12,29,24,0,1
0167,27,90,42,0,2
0168,40,181,20,0,0
0169,240,166,42,1,0
0170,112,191,26,1,1
0171,50,118,12,0,0
0172,21,69,13,0,1
0173,20,49,19,0,0
0174,0,2,1,0,0

# All Users
# Start date: 20211026
# End date: 20220418

First user default channel grouping,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
Direct,16913,31479,0.7030328747543326,1.8592522591695706,371.0480184277361,345494,16909,0
Unassigned,7374,12372,0.7822952892823269,1.6631267643500471,338.43016534480444,121014,7374,0
Organic Search,4737,10129,0.7982504531483963,2.131523569023569,400.00231481481484,102523,4737,0
Email,392,278,0.20057720057720058,0.7091836734693877,567.3367346938776,12263,392,0
Organic Social,87,286,0.8056338028169014,3.2873563218390807,696.1954022988506,2852,87,0
Mobile Push Notifications,1,1,0.1,1,2460,185,1,0
